iter	Passed	Remaining
444	1200	1496
445	1202	1493
446	1205	1491
447	1208	1488
448	1210	1485
449	1213	1483
450	1215	1479
451	1218	1477
452	1221	1474
453	1223	1471
454	1226	1468
455	1228	1466
456	1231	1463
457	1233	1460
458	1236	1457
459	1239	1455
460	1242	1452
461	1244	1449
462	1247	1446
463	1250	1444
464	1253	1441
465	1255	1438
466	1258	1436
467	1260	1433
468	1263	1430
469	1265	1427
470	1268	1424
471	1271	1422
472	1273	1419
473	1276	1416
474	1279	1413
475	1281	1411
476	1284	1408
477	1287	1405
478	1289	1403
479	1292	1400
480	1295	1397
481	1297	1394
482	1299	1391
483	1302	1388
484	1305	1385
485	1307	1383
486	1310	1380
487	1312	1377
488	1315	1374
489	1317	1371
490	1320	1368
491	1322	1365
492	1324	1362
493	1327	1359
494	1329	1356
495	1332	1353
496	1334	1350
497	1337	1347
498	1339	1345
499	1342	1342
500	1344	1339
501	1347	1336
502	1349	1333
503	1352	1330
504	1354	1327
505	1356	1324
506	1359	1321
507	1362	1319
508	1364	1316
509	1367	1313
510	1370	1311
511	1372	1308
512	1375	1305
513	1378	1303
514	1380	1300
515	1384	1298
516	1386	1295
517	1389	1293
518	1392	1290
519	1395	1287
520	1397	1285
521	1400	1282
522	1402	1279
523	1405	1276
524	1408	1273
525	1410	1271
526	1413	1268
527	1415	1265
528	1418	1262
529	1420	1259
530	1423	1257
531	1425	1254
532	1428	1251
533	1430	1248
534	1433	1245
535	1435	1242
536	1438	1240
537	1441	1237
538	1444	1235
539	1446	1232
540	1449	1229
541	1451	1226
542	1454	1224
543	1457	1221
544	1460	1219
545	1462	1216
546	1465	1213
547	1467	1210
548	1470	1207
549	1472	1205
550	1475	1202
551	1477	1199
552	1480	1196
553	1483	1194
554	1486	1191
555	1488	1188
556	1491	1186
557	1493	1183
558	1496	1180
559	1498	1177
560	1501	1174
561	1503	1172
562	1506	1169
563	1508	1166
564	1511	1163
565	1513	1160
566	1516	1158
567	1519	1155
568	1521	1152
569	1524	1149
570	1526	1147
571	1529	1144
572	1531	1141
573	1534	1138
574	1537	1136
575	1539	1133
576	1542	1130
577	1544	1127
578	1547	1125
579	1550	1122
580	1552	1119
581	1555	1117
582	1558	1114
583	1560	1111
584	1563	1109
585	1566	1106
586	1569	1103
587	1571	1101
588	1574	1098
589	1577	1096
590	1579	1093
591	1582	1090
592	1584	1087
593	1587	1085
594	1590	1082
595	1592	1079
596	1595	1077
597	1597	1074
598	1600	1071
599	1603	1068
600	1605	1066
601	1608	1063
602	1610	1060
603	1613	1057
604	1616	1055
605	1618	1052
606	1621	1049
607	1623	1047
608	1626	1044
609	1629	1041
610	1631	1038
611	1634	1035
612	1636	1033
613	1638	1030
614	1641	1027
615	1643	1024
616	1646	1021
617	1648	1019
618	1651	1016
619	1653	1013
620	1656	1010
621	1658	1008
622	1661	1005
623	1664	1002
624	1666	999
625	1669	997
626	1671	994
627	1674	991
628	1676	989
629	1679	986
630	1682	983
631	1685	981
632	1687	978
633	1690	975
634	1692	972
635	1695	970
636	1698	967
637	1700	964
638	1703	962
639	1705	959
640	1708	956
641	1710	954
642	1713	951
643	1716	948
644	1718	945
645	1721	943
646	1723	940
647	1726	937
648	1729	935
649	1731	932
650	1734	929
651	1737	927
652	1739	924
653	1742	921
654	1744	918
655	1747	916
656	1750	913
657	1752	910
658	1754	908
659	1757	905
660	1760	902
661	1763	900
662	1765	897
663	1768	894
664	1771	892
665	1773	889
666	1776	886
667	1778	883
668	1780	881
669	1783	878
670	1786	875
671	1788	873
672	1791	870
673	1793	867
674	1796	864
675	1799	862
676	1801	859
677	1804	856
678	1806	854
679	1809	851
680	1812	848
681	1814	846
682	1817	843
683	1820	840
684	1822	838
685	1825	835
686	1827	832
687	1830	830
688	1832	827
689	1835	824
690	1837	821
691	1840	819
692	1842	816
693	1845	813
694	1848	811
695	1851	808
696	1853	805
697	1856	803
698	1859	800
699	1861	797
700	1864	795
701	1866	792
702	1869	789
703	1871	786
704	1874	784
705	1876	781
706	1879	778
707	1882	776
708	1884	773
709	1887	770
710	1889	768
711	1892	765
712	1894	762
713	1897	760
714	1900	757
715	1902	754
716	1905	751
717	1907	749
718	1910	746
719	1912	743
720	1915	741
721	1918	738
722	1920	735
723	1923	733
724	1926	730
725	1928	727
726	1931	725
727	1934	722
728	1936	719
729	1939	717
730	1941	714
731	1944	711
732	1947	709
733	1949	706
734	1952	703
735	1954	701
736	1957	698
737	1959	695
738	1962	693
739	1964	690
740	1967	687
741	1969	684
742	1972	682
743	1975	679
744	1977	676
745	1980	674
746	1983	671
747	1985	668
748	1988	666
749	1990	663
750	1993	660
751	1995	658
752	1998	655
753	2000	652
754	2003	650
755	2005	647
756	2008	644
757	2011	642
758	2013	639
759	2016	636
760	2018	634
761	2021	631
762	2024	628
763	2026	626
764	2029	623
765	2031	620
766	2034	618
767	2037	615
768	2040	612
769	2042	610
770	2045	607
771	2047	604
772	2050	602
773	2052	599
774	2055	596
775	2058	594
776	2060	591
777	2063	588
778	2066	586
779	2068	583
780	2071	580
781	2073	578
782	2076	575
783	2079	572
784	2082	570
785	2084	567
786	2087	564
787	2090	562
788	2092	559
789	2095	556
790	2097	554
791	2100	551
792	2103	549
793	2105	546
794	2108	543
795	2111	541
796	2113	538
797	2116	535
798	2119	533
799	2121	530
800	2124	527
801	2126	525
802	2129	522
803	2132	519
804	2134	517
805	2137	514
806	2140	511
807	2142	509
808	2145	506
809	2148	503
810	2150	501
811	2152	498
812	2155	495
813	2158	493
814	2160	490
815	2163	487
816	2165	485
817	2168	482
818	2170	479
819	2173	477
820	2176	474
821	2178	471
822	2181	469
823	2184	466
824	2186	463
825	2188	461
826	2191	458
827	2193	455
828	2196	453
829	2198	450
830	2201	447
831	2204	445
832	2207	442
833	2209	439
834	2212	437
835	2214	434
836	2217	431
837	2219	429
838	2222	426
839	2224	423
840	2227	421
841	2229	418
842	2232	415
843	2234	413
844	2237	410
845	2240	407
846	2242	405
847	2245	402
848	2247	399
849	2250	397
850	2252	394
851	2255	391
852	2257	389
853	2260	386
854	2262	383
855	2265	381
856	2267	378
857	2270	375
858	2272	373
859	2275	370
860	2277	367
861	2280	365
862	2283	362
863	2286	359
864	2288	357
865	2291	354
866	2293	351
867	2296	349
868	2299	346
869	2301	343
870	2305	341
871	2307	338
872	2310	336
873	2313	333
874	2315	330
875	2318	328
876	2321	325
877	2323	322
878	2326	320
879	2328	317
880	2331	314
881	2334	312
882	2336	309
883	2339	306
884	2342	304
885	2344	301
886	2347	299
887	2349	296
888	2352	293
889	2354	291
890	2357	288
891	2360	285
892	2362	283
893	2364	280
894	2367	277
895	2369	275
896	2372	272
897	2374	269
898	2377	267
899	2379	264
900	2382	261
901	2384	259
902	2387	256
903	2389	253
904	2392	251
905	2395	248
906	2397	245
907	2400	243
908	2403	240
909	2405	237
910	2408	235
911	2410	232
912	2412	229
913	2415	227
914	2418	224
915	2420	221
916	2423	219
917	2426	216
918	2428	214
919	2431	211
920	2433	208
921	2436	206
922	2439	203
923	2441	200
924	2443	198
925	2446	195
926	2448	192
927	2451	190
928	2456	187
929	2460	185
930	2465	182
931	2468	180
932	2471	177
933	2473	174
934	2476	172
935	2478	169
936	2481	166
937	2483	164
938	2486	161
939	2489	158
940	2491	156
941	2494	153
942	2497	150
943	2499	148
944	2502	145
945	2504	142
946	2507	140
947	2509	137
948	2512	135
949	2514	132
950	2517	129
951	2519	127
952	2522	124
953	2524	121
954	2527	119
955	2530	116
956	2532	113
957	2535	111
958	2537	108
959	2540	105
960	2542	103
961	2544	100
962	2547	97
963	2550	95
964	2552	92
965	2555	89
966	2558	87
967	2560	84
968	2563	82
969	2566	79
970	2569	76
971	2571	74
972	2574	71
973	2577	68
974	2579	66
975	2582	63
976	2584	60
977	2587	58
978	2590	55
979	2592	52
980	2595	50
981	2598	47
982	2600	44
983	2603	42
984	2605	39
985	2608	37
986	2611	34
987	2613	31
988	2616	29
989	2618	26
990	2621	23
991	2623	21
992	2626	18
993	2628	15
994	2631	13
995	2634	10
996	2636	7
997	2639	5
998	2642	2
999	2644	0
