iter	Logloss
226	0.204640009
227	0.2046120349
228	0.2044821212
229	0.2043817834
230	0.2043520744
231	0.2042897553
232	0.2042133347
233	0.2041235582
234	0.204058505
235	0.2038609807
236	0.2037003263
237	0.2036696247
238	0.2035770764
239	0.2034944434
240	0.203421263
241	0.2033664568
242	0.2032659931
243	0.2031552767
244	0.2030903463
245	0.2030499587
246	0.2030207859
247	0.2029186323
248	0.2028204488
249	0.2027750794
250	0.2026853422
251	0.2026239253
252	0.2024174749
253	0.2023553995
254	0.2023217944
255	0.2022617723
256	0.2022039935
257	0.2021178447
258	0.2019996983
259	0.2018753833
260	0.2017519054
261	0.2016148105
262	0.2015616907
263	0.201463739
264	0.2013613444
265	0.2012046313
266	0.2011372316
267	0.2009937043
268	0.200918051
269	0.2008240118
270	0.2006864204
271	0.200597997
272	0.2005547834
273	0.2005132294
274	0.2003968218
275	0.200339674
276	0.2002933486
277	0.2002508921
278	0.2001865687
279	0.2000980371
280	0.200036466
281	0.1999818817
282	0.1999009281
283	0.1997969412
284	0.1997402663
285	0.1997262752
286	0.1996404906
287	0.1996294409
288	0.1995878981
289	0.1994838653
290	0.1994313094
291	0.199377686
292	0.1993297267
293	0.1992778957
294	0.1992219427
295	0.199133227
296	0.1989708795
297	0.19895027
298	0.1988066705
299	0.1987182383
300	0.1986665868
301	0.1986359856
302	0.1985835641
303	0.1985402797
304	0.1984486334
305	0.1983985271
306	0.1983109152
307	0.1982487919
308	0.1981599572
309	0.1981329517
310	0.1980923161
311	0.1980126546
312	0.197965805
313	0.1978209199
314	0.1977806839
315	0.1976932156
316	0.1976585067
317	0.1975617117
318	0.1975101113
319	0.1974540627
320	0.1973683581
321	0.197236316
322	0.1972095614
323	0.1971216857
324	0.1970694562
325	0.1969354704
326	0.1968198722
327	0.1967479437
328	0.1966665316
329	0.1966214153
330	0.1965423873
331	0.1964883332
332	0.1964446863
333	0.1963351474
334	0.1962623141
335	0.19620538
336	0.1961701646
337	0.1961098459
338	0.196032976
339	0.1959636218
340	0.1958609211
341	0.1957937476
342	0.1956908039
343	0.1955971554
344	0.1954762073
345	0.1953919933
346	0.1953076637
347	0.1952358084
348	0.1951847571
349	0.1951263035
350	0.1950249569
351	0.194939005
352	0.19488891
353	0.1948196793
354	0.1947515918
355	0.1946686751
356	0.194606536
357	0.1945480282
358	0.1944849707
359	0.194410976
360	0.1943389249
361	0.1942372722
362	0.1941161588
363	0.1940320822
364	0.1939788327
365	0.1939200012
366	0.1937861687
367	0.1937285824
368	0.1935853145
369	0.1935240531
370	0.193414379
371	0.1933309744
372	0.1932393083
373	0.1931682467
374	0.1930920329
375	0.1930232944
376	0.1929486845
377	0.1928811771
378	0.1927891974
379	0.1927006569
380	0.1926285961
381	0.1925523597
382	0.1924882607
383	0.1924384985
384	0.1923349532
385	0.1922728243
386	0.1922227599
387	0.1921475327
388	0.1920633324
389	0.1919918183
390	0.1919609398
391	0.1918783166
392	0.1917688312
393	0.1916816535
394	0.191618546
395	0.1915338736
396	0.1914605069
397	0.1913988811
398	0.1912851291
399	0.191197054
400	0.1911370142
401	0.1910786659
402	0.1909061738
403	0.1908359724
404	0.1907649413
405	0.1905935877
406	0.1905065985
407	0.1904508333
408	0.1903750083
409	0.1903303905
410	0.1902574842
411	0.19014673
412	0.1900794525
413	0.1900020403
414	0.1899379932
415	0.1898527756
416	0.1897967411
417	0.1897232568
418	0.1895994094
419	0.189521405
420	0.1894605782
421	0.1894038715
422	0.189341437
423	0.1892787016
424	0.1892098921
425	0.1891471312
426	0.1890874343
427	0.189032244
428	0.1889982456
429	0.1889179112
430	0.1888392858
431	0.1887603409
432	0.1886849928
433	0.188614519
434	0.1885349064
435	0.1884710877
436	0.1883812809
437	0.1883213244
438	0.1882858553
439	0.1882316327
440	0.1881818659
441	0.188108324
442	0.1880462722
443	0.1879736261
444	0.1879099838
445	0.1878423303
446	0.1877795867
447	0.1877210003
448	0.1876231456
449	0.1875722171
450	0.1874892947
451	0.1873814752
452	0.1872971266
453	0.1872350843
454	0.1871567094
455	0.1871092085
456	0.1870488605
457	0.186922277
458	0.1868253668
459	0.1867598524
460	0.1866856402
461	0.1866173877
462	0.186560468
463	0.1864917443
464	0.1863954376
465	0.1863244459
466	0.1862557491
467	0.1861850965
468	0.1861063452
469	0.1860267875
470	0.1859565935
471	0.1859127845
472	0.1858478657
473	0.1857752456
474	0.185714027
475	0.1856560864
476	0.1855727101
477	0.1855062708
478	0.1854763512
479	0.1854062191
480	0.1853076372
481	0.185247505
482	0.1851843507
483	0.1850978513
484	0.1850378503
485	0.1849627374
486	0.1848911969
487	0.1848005284
488	0.1847344749
489	0.1846494774
490	0.1845919226
491	0.1845063578
492	0.1844490408
493	0.1843835157
494	0.1843240769
495	0.1842631296
496	0.1841876459
497	0.1841186807
498	0.1840092429
499	0.1839360511
500	0.1838575899
501	0.1837971995
502	0.183731006
503	0.1836566305
504	0.1835558587
505	0.183460988
506	0.183333781
507	0.1832958495
508	0.1832407436
509	0.1831666092
510	0.1831159534
511	0.1830248728
512	0.1829626197
513	0.1828928304
514	0.1828289332
515	0.1827778243
516	0.1827255121
517	0.1826363992
518	0.1825664804
519	0.1824872549
520	0.1824067897
521	0.1823434801
522	0.1822527833
523	0.1821948269
524	0.182155602
525	0.1820855586
526	0.1820087736
527	0.1819632042
528	0.1818978175
529	0.181833899
530	0.1817545905
531	0.1817153139
532	0.1816690461
533	0.1815783265
534	0.1814978286
535	0.1814095312
536	0.1813465886
537	0.1812897298
538	0.1812259682
539	0.181167982
540	0.1810922954
541	0.1809459783
542	0.1809180946
543	0.1808579228
544	0.1807671762
545	0.1806981942
546	0.1806206973
547	0.180547925
548	0.1804720288
549	0.1804117804
550	0.1803246384
551	0.1802561521
552	0.1802138066
553	0.1801178671
554	0.1800896251
555	0.1800538165
556	0.1799885527
557	0.1799328661
558	0.1798924429
559	0.1798491208
560	0.1798377704
561	0.1798226235
562	0.1797402878
563	0.1796874237
564	0.1796498895
565	0.1795835473
566	0.1795072075
567	0.1794430616
568	0.1793449244
569	0.1792939032
570	0.1792242368
571	0.1791740124
572	0.1791146059
573	0.1790668429
574	0.1789942751
575	0.1789273475
576	0.1788347992
577	0.1787988924
578	0.178755338
579	0.178744716
580	0.1786843669
581	0.1786314378
582	0.1785664724
583	0.1784941193
584	0.1784838702
585	0.1783917232
586	0.1783207709
587	0.1782676446
588	0.1782544568
589	0.1781866378
590	0.1781484573
591	0.1780738818
592	0.1780124385
593	0.177972389
594	0.1779178147
595	0.1778664149
596	0.1778177813
597	0.1777847777
598	0.1777367404
599	0.177658403
600	0.1775680825
601	0.1775218905
602	0.1774803451
603	0.1774049558
604	0.1773542739
605	0.1772790915
606	0.1772354955
607	0.1771666527
608	0.1771020619
609	0.1770463682
610	0.1769876486
611	0.1769586628
612	0.1769217852
613	0.1768550516
614	0.176762706
615	0.1767190282
616	0.1766718621
617	0.1766104439
618	0.1765865946
619	0.1765324652
620	0.1764757701
621	0.1764169366
622	0.1763408598
623	0.1762680503
624	0.1762583922
625	0.1762050792
626	0.176172554
627	0.1761128907
628	0.1760628046
629	0.1759711311
630	0.1759324424
631	0.1758929286
632	0.1758028808
633	0.1757628932
634	0.1757051318
635	0.1756958895
636	0.1756329312
637	0.1755461316
638	0.1754608851
639	0.1754302362
640	0.1753859974
641	0.1753549614
642	0.1752622319
643	0.1752247112
644	0.1751624918
645	0.1750657801
646	0.1750236184
647	0.1749955834
648	0.1749494458
649	0.1748685831
650	0.1748397972
651	0.174795542
652	0.1747523054
653	0.1746848029
654	0.1746444466
655	0.1746005671
656	0.1745324448
657	0.1744805651
658	0.1744258797
659	0.1744026826
660	0.1743806559
661	0.1743597056
662	0.174305417
663	0.1742688036
664	0.174209983
665	0.1741168021
666	0.1740615742
667	0.1740217899
668	0.1739576352
669	0.1739354373
670	0.1738274974
671	0.1737683887
672	0.1737299322
673	0.1736800975
674	0.1736601248
675	0.1736278773
676	0.1735991206
677	0.1735565823
678	0.1734844972
679	0.1734489201
680	0.1734191952
681	0.1733724845
682	0.1733494681
683	0.1733099084
684	0.1731717239
685	0.1731316032
686	0.1731075601
687	0.1730623511
688	0.1730043056
689	0.1729328453
690	0.1728960317
691	0.1727657974
692	0.1726894391
693	0.1726624236
694	0.1726539196
695	0.1726184399
696	0.1725319924
697	0.172509301
698	0.1724608573
699	0.1724064784
700	0.1723749244
701	0.1723069914
702	0.1722516082
703	0.1722055136
704	0.172121203
705	0.172099562
706	0.1720606592
707	0.1720307342
708	0.1719579494
709	0.1718985505
710	0.1718568268
711	0.1718201077
712	0.1717396232
713	0.1716859473
714	0.1716098204
715	0.1715456714
716	0.1715120053
717	0.1714661961
718	0.1714293434
719	0.1714076015
720	0.1713287328
721	0.1712706997
722	0.1711720335
723	0.1710674643
724	0.1710397538
725	0.1710050968
726	0.1709681133
727	0.1708889032
728	0.1708379667
729	0.1707511784
730	0.1706793097
731	0.1706159935
732	0.1705823723
733	0.1705443794
734	0.1704931245
735	0.1704624668
736	0.1704106024
737	0.1703714638
738	0.1703371511
739	0.1702824138
740	0.1702553952
741	0.170220259
742	0.170149026
743	0.1700817296
744	0.1700500644
745	0.170033347
746	0.1699454979
747	0.1699120378
748	0.1699046375
749	0.1698627097
750	0.1697882882
751	0.169723534
752	0.1696834084
753	0.1695988309
754	0.1695176104
755	0.1694932267
756	0.1694634255
757	0.1693402345
758	0.1692844056
759	0.1692259802
760	0.1691489909
761	0.1691279082
762	0.1690764851
763	0.1690376217
764	0.169030472
765	0.1689901058
766	0.1689386885
767	0.1688747961
768	0.1687970612
769	0.1687594719
770	0.1687109145
771	0.1686732611
772	0.1686463213
773	0.1685997295
774	0.1685402857
775	0.1684755115
776	0.168404956
777	0.1683724036
778	0.1683353206
779	0.168300046
780	0.1682504856
781	0.1681860035
782	0.1681492483
783	0.1681307902
784	0.1681145278
785	0.168029609
786	0.1680084767
787	0.1679807916
788	0.1679129697
789	0.1678614649
790	0.1678287713
791	0.1678124107
792	0.1677571151
793	0.1677278271
794	0.1677106551
795	0.1676798819
796	0.1675877014
797	0.1675423434
798	0.1675095846
799	0.1674525242
800	0.1673849608
801	0.1673531574
802	0.1673171391
803	0.1673018958
804	0.1672692947
805	0.167234613
806	0.1671899535
807	0.1671025573
808	0.1670572373
809	0.1670471309
810	0.1669991069
811	0.1669819262
812	0.1668651896
813	0.166838075
814	0.1667595048
815	0.1667400078
816	0.1666752713
817	0.166648859
818	0.1665893515
819	0.1665171531
820	0.1664186429
821	0.1663794162
822	0.1663078774
823	0.1662931649
824	0.166171169
825	0.1661118853
826	0.1660806625
827	0.1660578197
828	0.1660115136
829	0.1659866867
830	0.1659506048
831	0.1659051002
832	0.1658590433
833	0.1657731987
834	0.1657367765
835	0.1656843451
836	0.1656218737
837	0.1655637012
838	0.1654964036
839	0.1654652113
840	0.1653912265
841	0.1653329087
842	0.1652640145
843	0.1651518688
844	0.1651003131
845	0.1650788147
846	0.165012288
847	0.1649681484
848	0.1649051042
849	0.1648642132
850	0.164766866
851	0.1646878852
852	0.1646496558
853	0.164612223
854	0.1645242533
855	0.164468399
856	0.1643909007
857	0.1643312026
858	0.1642856841
859	0.1642532739
860	0.1641987003
861	0.1641717879
862	0.1641308883
863	0.164112824
864	0.164083238
865	0.1640626864
866	0.1640490541
867	0.1640052969
868	0.1639641726
869	0.1638902217
870	0.1638411059
871	0.1638026888
872	0.163758721
873	0.1637199543
874	0.1637135835
875	0.1636737145
876	0.1636163038
877	0.1635931912
878	0.1635602486
879	0.1634692275
880	0.1634153117
881	0.163354077
882	0.163339314
883	0.1632968288
884	0.1632615268
885	0.1632491386
886	0.1632117201
887	0.1631582026
888	0.1631077228
889	0.1630615039
890	0.1630076102
891	0.1629275029
892	0.1628586126
893	0.1628234763
894	0.1627474962
895	0.1626866698
896	0.1626490394
897	0.1625845955
898	0.1625533961
899	0.1625148439
900	0.1624732746
901	0.1624346546
902	0.1623254397
903	0.1622841938
904	0.162255241
905	0.1622175254
906	0.1621740492
907	0.1621388625
908	0.1620952394
909	0.1620598866
910	0.1620407911
911	0.1620180015
912	0.1619794143
913	0.1619662781
914	0.1619445124
915	0.1618711965
916	0.1618049804
917	0.161775948
918	0.1617366684
919	0.1617214435
920	0.1616939109
921	0.1616603244
922	0.1616206865
923	0.1616035311
924	0.1615533029
925	0.161484558
926	0.1614329161
927	0.1613958434
928	0.1613618987
929	0.1613069692
930	0.1612902784
931	0.1612514312
932	0.1612293858
933	0.1612233986
934	0.1611692817
935	0.1611559803
936	0.1611188595
937	0.1610682352
938	0.1610229165
939	0.161001771
940	0.1609393334
941	0.1609054844
942	0.1608996763
943	0.1607975762
944	0.160787224
945	0.1607713192
946	0.1607068793
947	0.1606614814
948	0.1606501123
949	0.1606064541
950	0.1605400392
951	0.160493183
952	0.1604875843
953	0.1604552947
954	0.160442208
955	0.1604119385
956	0.1603579876
957	0.1602929281
958	0.1602713129
959	0.1602453992
960	0.1601569659
961	0.1601069545
962	0.1600150794
963	0.1599976948
964	0.1599729771
965	0.1599383115
966	0.1598972565
967	0.1598719019
968	0.1598665698
969	0.1598501689
970	0.1598301496
971	0.1597982234
972	0.1597885968
973	0.1597531547
974	0.1597215337
975	0.159632322
976	0.1595736052
977	0.1595392148
978	0.1595236896
979	0.1594709762
980	0.159428857
981	0.1593513163
982	0.1593181845
983	0.1592754803
984	0.1592332097
985	0.1591848741
986	0.1591798621
987	0.1591340839
988	0.1590918987
989	0.1590275801
990	0.1589870702
991	0.1589469361
992	0.158909491
993	0.158856064
994	0.1588214564
995	0.1587900898
996	0.158749676
997	0.1587298776
998	0.1587088672
999	0.1586792593
